test,target,ct,tipo
4GB001,AKT1,29.17,Control
4GB001,BMP1,38.77,Control
4GB001,BMP2,32.56,Control
4GB001,BMP7,38.58,Control
4GB001,CALD1,36.77,Control
4GB001,CAMK2N1,42.37,Control
4GB001,CAV2,40.43,Control
4GB001,CDH1,32.74,Control
4GB001,CDH2,37.86,Control
4GB001,COL1A2,34.15,Control
4GB001,COL3A1,33.18,Control
4GB001,COL5A2,31.96,Control
4GB001,CTNNB1,37.34,Control
4GB001,DSC2,35.17,Control
4GB001,DSP,35.55,Control
4GB001,EGFR,34.57,Control
4GB001,ERBB3,37.82,Control
4GB001,ESR1,35.94,Control
4GB001,F11R,32.82,Control
4GB001,FGFBP1,38.75,Control
4GB001,FN1,36.48,Control
4GB001,FOXC2,34.67,Control
4GB001,FZD7,34.4,Control
4GB001,GNG11,33.06,Control
4GB001,GSC,35.78,Control
4GB001,GSK3B,33.98,Control
4GB001,IGFBP4,37.39,Control
4GB001,IL1RN,33.0,Control
4GB001,ILK,44.93,Control
4GB001,ITGA5,33.39,Control
4GB001,ITGAV,37.35,Control
4GB001,ITGB1,41.76,Control
4GB001,JAG1,44.93,Control
4GB001,KRT14,37.81,Control
4GB001,KRT19,32.61,Control
4GB001,KRT7,38.26,Control
4GB001,MAP1B,31.78,Control
4GB001,MMP2,36.81,Control
4GB001,MMP3,34.18,Control
4GB001,MMP9,44.79,Control
4GB001,MSN,33.66,Control
4GB001,MST1R,28.12,Control
4GB001,NODAL,35.39,Control
4GB001,NOTCH1,44.56,Control
4GB001,NUDT13,35.84,Control
4GB001,OCLN,32.23,Control
4GB001,PDGFRB,38.54,Control
4GB001,PLEK2,37.08,Control
4GB001,PPPDE2,44.22,Control
4GB001,PTK2,43.57,Control
4GB001,PTP4A1,44.19,Control
4GB001,RAC1,38.71,Control
4GB001,RGS2,33.37,Control
4GB001,SERPINE1,44.93,Control
4GB001,SIP1,38.08,Control
4GB001,SMAD2,38.15,Control
4GB001,SNAI1,41.66,Control
4GB001,SNAI2,35.62,Control
4GB001,SNAI3,41.53,Control
4GB001,SOX10,31.0,Control
4GB001,SPARC,40.02,Control
4GB001,SPP1,31.6,Control
4GB001,STAT3,40.71,Control
4GB001,STEAP1,43.89,Control
4GB001,TCF3,36.68,Control
4GB001,TCF4,44.93,Control
4GB001,TFPI2,27.89,Control
4GB001,TGFB1,42.23,Control
4GB001,TGFB2,34.3,Control
4GB001,TGFB3,38.73,Control
4GB001,TIMP1,38.03,Control
4GB001,TMEFF1,33.99,Control
4GB001,TMEM132A,32.94,Control
4GB001,TSPAN13,33.15,Control
4GB001,TWIST1,30.64,Control
4GB001,VCAN,43.11,Control
4GB001,VIM,44.93,Control
4GB001,VPS13A,35.04,Control
4GB001,WNT11,40.33,Control
4GB001,WNT5A,36.73,Control
4GB001,WNT5B,31.67,Control
4GB001,ZEB1,36.01,Control
4GB001,ZEB2,43.16,Control
4GB001,ACTB,35.26,Control
4GB001,B2M,36.82,Control
4GB001,GAPDH,35.65,Control
4GB001,HPRT1,38.02,Control
4GB001,RPLP0,36.06,Control
4GB001,HGDC,42.52,Control
4GB031,AKT1,28.63,Control
4GB031,BMP1,40.26,Control
4GB031,BMP2,32.85,Control
4GB031,BMP7,38.55,Control
4GB031,CALD1,36.79,Control
4GB031,CAMK2N1,36.78,Control
4GB031,CAV2,44.93,Control
4GB031,CDH1,33.33,Control
4GB031,CDH2,38.0,Control
4GB031,COL1A2,32.44,Control
4GB031,COL3A1,34.43,Control
4GB031,COL5A2,31.85,Control
4GB031,CTNNB1,37.12,Control
4GB031,DSC2,34.1,Control
4GB031,DSP,36.0,Control
4GB031,EGFR,34.57,Control
4GB031,ERBB3,38.55,Control
4GB031,ESR1,39.83,Control
4GB031,F11R,32.14,Control
4GB031,FGFBP1,43.21,Control
4GB031,FN1,35.99,Control
4GB031,FOXC2,33.88,Control
4GB031,FZD7,34.44,Control
4GB031,GNG11,34.12,Control
4GB031,GSC,42.58,Control
4GB031,GSK3B,35.62,Control
4GB031,IGFBP4,36.02,Control
4GB031,IL1RN,34.0,Control
4GB031,ILK,44.93,Control
4GB031,ITGA5,32.68,Control
4GB031,ITGAV,39.32,Control
4GB031,ITGB1,42.09,Control
4GB031,JAG1,44.93,Control
4GB031,KRT14,38.02,Control
4GB031,KRT19,32.13,Control
4GB031,KRT7,38.62,Control
4GB031,MAP1B,31.94,Control
4GB031,MMP2,36.02,Control
4GB031,MMP3,34.06,Control
4GB031,MMP9,40.62,Control
4GB031,MSN,35.23,Control
4GB031,MST1R,29.74,Control
4GB031,NODAL,36.65,Control
4GB031,NOTCH1,44.93,Control
4GB031,NUDT13,35.67,Control
4GB031,OCLN,32.01,Control
4GB031,PDGFRB,36.28,Control
4GB031,PLEK2,35.99,Control
4GB031,PPPDE2,44.93,Control
4GB031,PTK2,42.88,Control
4GB031,PTP4A1,40.4,Control
4GB031,RAC1,38.18,Control
4GB031,RGS2,34.43,Control
4GB031,SERPINE1,44.93,Control
4GB031,SIP1,37.29,Control
4GB031,SMAD2,35.71,Control
4GB031,SNAI1,38.46,Control
4GB031,SNAI2,37.52,Control
4GB031,SNAI3,42.03,Control
4GB031,SOX10,31.01,Control
4GB031,SPARC,39.76,Control
4GB031,SPP1,31.99,Control
4GB031,STAT3,41.13,Control
4GB031,STEAP1,44.93,Control
4GB031,TCF3,37.62,Control
4GB031,TCF4,39.07,Control
4GB031,TFPI2,34.31,Control
4GB031,TGFB1,40.88,Control
4GB031,TGFB2,34.3,Control
4GB031,TGFB3,38.42,Control
4GB031,TIMP1,34.7,Control
4GB031,TMEFF1,33.32,Control
4GB031,TMEM132A,33.55,Control
4GB031,TSPAN13,33.41,Control
4GB031,TWIST1,30.57,Control
4GB031,VCAN,35.89,Control
4GB031,VIM,44.93,Control
4GB031,VPS13A,36.91,Control
4GB031,WNT11,36.75,Control
4GB031,WNT5A,35.56,Control
4GB031,WNT5B,32.48,Control
4GB031,ZEB1,35.8,Control
4GB031,ZEB2,39.65,Control
4GB031,ACTB,35.75,Control
4GB031,B2M,33.97,Control
4GB031,GAPDH,44.93,Control
4GB031,HPRT1,36.07,Control
4GB031,RPLP0,36.92,Control
4GB031,HGDC,44.93,Control
3CG008,AKT1,28.53,Muestra
3CG008,BMP1,33.62,Muestra
3CG008,BMP2,32.91,Muestra
3CG008,BMP7,38.67,Muestra
3CG008,CALD1,33.34,Muestra
3CG008,CAMK2N1,38.74,Muestra
3CG008,CAV2,39.92,Muestra
3CG008,CDH1,32.51,Muestra
3CG008,CDH2,34.42,Muestra
3CG008,COL1A2,32.26,Muestra
3CG008,COL3A1,37.55,Muestra
3CG008,COL5A2,33.2,Muestra
3CG008,CTNNB1,34.91,Muestra
3CG008,DSC2,33.15,Muestra
3CG008,DSP,36.87,Muestra
3CG008,EGFR,34.46,Muestra
3CG008,ERBB3,38.13,Muestra
3CG008,ESR1,35.23,Muestra
3CG008,F11R,30.91,Muestra
3CG008,FGFBP1,38.07,Muestra
3CG008,FN1,38.1,Muestra
3CG008,FOXC2,32.01,Muestra
3CG008,FZD7,34.18,Muestra
3CG008,GNG11,37.1,Muestra
3CG008,GSC,40.62,Muestra
3CG008,GSK3B,35.9,Muestra
3CG008,IGFBP4,32.86,Muestra
3CG008,IL1RN,32.73,Muestra
3CG008,ILK,44.93,Muestra
3CG008,ITGA5,31.35,Muestra
3CG008,ITGAV,34.55,Muestra
3CG008,ITGB1,40.1,Muestra
3CG008,JAG1,39.89,Muestra
3CG008,KRT14,43.37,Muestra
3CG008,KRT19,29.98,Muestra
3CG008,KRT7,36.99,Muestra
3CG008,MAP1B,31.93,Muestra
3CG008,MMP2,37.7,Muestra
3CG008,MMP3,34.08,Muestra
3CG008,MMP9,36.32,Muestra
3CG008,MSN,34.81,Muestra
3CG008,MST1R,29.2,Muestra
3CG008,NODAL,34.72,Muestra
3CG008,NOTCH1,39.95,Muestra
3CG008,NUDT13,35.37,Muestra
3CG008,OCLN,30.32,Muestra
3CG008,PDGFRB,34.76,Muestra
3CG008,PLEK2,34.98,Muestra
3CG008,PPPDE2,44.93,Muestra
3CG008,PTK2,35.49,Muestra
3CG008,PTP4A1,39.11,Muestra
3CG008,RAC1,34.69,Muestra
3CG008,RGS2,34.07,Muestra
3CG008,SERPINE1,39.03,Muestra
3CG008,SIP1,36.03,Muestra
3CG008,SMAD2,35.09,Muestra
3CG008,SNAI1,36.29,Muestra
3CG008,SNAI2,35.79,Muestra
3CG008,SNAI3,38.42,Muestra
3CG008,SOX10,29.99,Muestra
3CG008,SPARC,35.78,Muestra
3CG008,SPP1,31.42,Muestra
3CG008,STAT3,35.45,Muestra
3CG008,STEAP1,38.67,Muestra
3CG008,TCF3,37.81,Muestra
3CG008,TCF4,34.64,Muestra
3CG008,TFPI2,31.79,Muestra
3CG008,TGFB1,37.64,Muestra
3CG008,TGFB2,31.69,Muestra
3CG008,TGFB3,35.75,Muestra
3CG008,TIMP1,35.09,Muestra
3CG008,TMEFF1,32.32,Muestra
3CG008,TMEM132A,31.55,Muestra
3CG008,TSPAN13,31.85,Muestra
3CG008,TWIST1,30.26,Muestra
3CG008,VCAN,40.21,Muestra
3CG008,VIM,44.93,Muestra
3CG008,VPS13A,35.9,Muestra
3CG008,WNT11,38.97,Muestra
3CG008,WNT5A,36.11,Muestra
3CG008,WNT5B,31.02,Muestra
3CG008,ZEB1,37.23,Muestra
3CG008,ZEB2,34.24,Muestra
3CG008,ACTB,35.24,Muestra
3CG008,B2M,30.81,Muestra
3CG008,GAPDH,44.93,Muestra
3CG008,HPRT1,33.54,Muestra
3CG008,RPLP0,33.09,Muestra
3CG008,HGDC,37.07,Muestra
3CG128,AKT1,28.82,Muestra
3CG128,BMP1,35.07,Muestra
3CG128,BMP2,32.77,Muestra
3CG128,BMP7,38.6,Muestra
3CG128,CALD1,35.75,Muestra
3CG128,CAMK2N1,36.07,Muestra
3CG128,CAV2,44.93,Muestra
3CG128,CDH1,33.32,Muestra
3CG128,CDH2,35.05,Muestra
3CG128,COL1A2,32.26,Muestra
3CG128,COL3A1,35.1,Muestra
3CG128,COL5A2,32.49,Muestra
3CG128,CTNNB1,36.76,Muestra
3CG128,DSC2,36.12,Muestra
3CG128,DSP,35.91,Muestra
3CG128,EGFR,35.17,Muestra
3CG128,ERBB3,35.82,Muestra
3CG128,ESR1,38.23,Muestra
3CG128,F11R,32.6,Muestra
3CG128,FGFBP1,44.23,Muestra
3CG128,FN1,39.31,Muestra
3CG128,FOXC2,34.08,Muestra
3CG128,FZD7,34.95,Muestra
3CG128,GNG11,35.0,Muestra
3CG128,GSC,43.25,Muestra
3CG128,GSK3B,34.86,Muestra
3CG128,IGFBP4,37.23,Muestra
3CG128,IL1RN,33.38,Muestra
3CG128,ILK,44.93,Muestra
3CG128,ITGA5,30.98,Muestra
3CG128,ITGAV,36.44,Muestra
3CG128,ITGB1,41.05,Muestra
3CG128,JAG1,44.93,Muestra
3CG128,KRT14,42.12,Muestra
3CG128,KRT19,32.47,Muestra
3CG128,KRT7,41.04,Muestra
3CG128,MAP1B,31.86,Muestra
3CG128,MMP2,37.84,Muestra
3CG128,MMP3,33.84,Muestra
3CG128,MMP9,37.28,Muestra
3CG128,MSN,35.55,Muestra
3CG128,MST1R,28.96,Muestra
3CG128,NODAL,34.89,Muestra
3CG128,NOTCH1,40.11,Muestra
3CG128,NUDT13,36.09,Muestra
3CG128,OCLN,31.28,Muestra
3CG128,PDGFRB,35.71,Muestra
3CG128,PLEK2,36.76,Muestra
3CG128,PPPDE2,44.93,Muestra
3CG128,PTK2,38.25,Muestra
3CG128,PTP4A1,44.86,Muestra
3CG128,RAC1,37.57,Muestra
3CG128,RGS2,34.38,Muestra
3CG128,SERPINE1,35.87,Muestra
3CG128,SIP1,37.71,Muestra
3CG128,SMAD2,36.23,Muestra
3CG128,SNAI1,38.26,Muestra
3CG128,SNAI2,37.97,Muestra
3CG128,SNAI3,36.46,Muestra
3CG128,SOX10,31.88,Muestra
3CG128,SPARC,40.52,Muestra
3CG128,SPP1,32.38,Muestra
3CG128,STAT3,37.64,Muestra
3CG128,STEAP1,44.93,Muestra
3CG128,TCF3,38.36,Muestra
3CG128,TCF4,37.09,Muestra
3CG128,TFPI2,32.41,Muestra
3CG128,TGFB1,41.54,Muestra
3CG128,TGFB2,35.42,Muestra
3CG128,TGFB3,39.72,Muestra
3CG128,TIMP1,36.47,Muestra
3CG128,TMEFF1,32.8,Muestra
3CG128,TMEM132A,33.3,Muestra
3CG128,TSPAN13,32.95,Muestra
3CG128,TWIST1,30.46,Muestra
